"AA","Int","Probibility","P_value","delabel"
"DA","I2_A","-0.00386232","0.306826434143391",NA
"DA","I3_A","-0.00386232","0.306826434143391",NA
"DA","I1","0","0.33228610889228",NA
"DA","I4","0","0.33228610889228",NA
"DA","I5","-0.00386232","0.305343622898658",NA
"DA","I6","-0.00386232","0.311593148602419",NA
"DC","I2_P","0","0.366849446280793",NA
"DC","I3_P","0","0.368910398226179",NA
"DC","I2_A","-0.00033972","0.306826434143391",NA
"DC","I3_A","-0.00033972","0.306826434143391",NA
"DC","I1","0","0.33228610889228",NA
"DC","I4","0","0.33228610889228",NA
"DC","I5","-0.00033972","0.305343622898658",NA
"DC","I6","-0.00033972","0.311593148602419",NA
"DD","I2_P","-0.0456","0.000279004504386412","DD"
"DD","I3_P","-0.0399820224719101","0.00243210328477433","DD"
"DD","I2_A","-0.00207936","0.306826434143391",NA
"DD","I3_A","-0.00207936","0.306826434143391",NA
"DD","I1","-0.00207936","0.33228610889228",NA
"DD","I4","-0.00207936","0.33228610889228",NA
"DD","I5","-0.00207936","0.305343622898658",NA
"DD","I6","-0.00207936","0.311593148602419",NA
"DE","I2_P","0","0.366849446280793",NA
"DE","I3_P","0","0.368910398226179",NA
"DE","I2_A","-0.0063384","0.306826434143391",NA
"DE","I3_A","-0.0063384","0.306826434143391",NA
"DE","I1","-0.0126768","0.109557674411467",NA
"DE","I4","-0.0126768","0.109557674411467",NA
"DE","I5","-0.0063384","0.305343622898658",NA
"DE","I6","-0.0063384","0.311593148602419",NA
"DF","I2_P","0","0.366849446280793",NA
"DF","I3_P","0","0.368910398226179",NA
"DF","I2_A","-0.00131784","0.306826434143391",NA
"DF","I3_A","-0.00131784","0.306826434143391",NA
"DF","I1","-0.00263568","0.33228610889228",NA
"DF","I4","-0.00263568","0.33228610889228",NA
"DF","I5","-0.00131784","0.305343622898658",NA
"DF","I6","-0.00131784","0.311593148602419",NA
"DG","I2_P","0","0.366849446280793",NA
"DG","I3_P","0","0.368910398226179",NA
"DG","I2_A","-0.00072048","0.306826434143391",NA
"DG","I3_A","-0.00072048","0.306826434143391",NA
"DG","I1","-0.00144096","0.33228610889228",NA
"DG","I4","-0.00144096","0.33228610889228",NA
"DG","I5","-0.00072048","0.305343622898658",NA
"DG","I6","-0.00072048","0.311593148602419",NA
"DH","I2_P","0","0.366849446280793",NA
"DH","I3_P","0","0.368910398226179",NA
"DH","I2_A","-0.00106248","0.306826434143391",NA
"DH","I3_A","-0.00106248","0.306826434143391",NA
"DH","I1","-0.00212496","0.33228610889228",NA
"DH","I4","-0.00212496","0.33228610889228",NA
"DH","I5","-0.00106248","0.305343622898658",NA
"DH","I6","-0.00106248","0.311593148602419",NA
"DI","I2_P","0","0.366849446280793",NA
"DI","I3_P","0","0.368910398226179",NA
"DI","I2_A","-0.00301416","0.306826434143391",NA
"DI","I3_A","-0.00301416","0.306826434143391",NA
"DI","I1","0.00671053350318471","0.201803991742456",NA
"DI","I4","0.00671053350318471","0.201803991742456",NA
"DI","I5","-0.00301416","0.305343622898658",NA
"DI","I6","0.00331495392405063","0.364679388734674",NA
"DK","I2_P","0","0.366849446280793",NA
"DK","I3_P","0","0.368910398226179",NA
"DK","I2_A","-0.0033972","0.306826434143391",NA
"DK","I3_A","0.0031387477124183","0.363910421891001",NA
"DK","I1","-0.0067944","0.33228610889228",NA
"DK","I4","-0.0067944","0.33228610889228",NA
"DK","I5","0.00301305641025641","0.363615306657901",NA
"DK","I6","0.00293191392405063","0.364679388734674",NA
"DL","I2_P","0","0.366849446280793",NA
"DL","I3_P","0","0.368910398226179",NA
"DL","I2_A","-0.0073416","0.306826434143391",NA
"DL","I3_A","-0.0073416","0.306826434143391",NA
"DL","I1","-0.00831377324840764","0.243979501880885",NA
"DL","I4","-0.00831377324840764","0.243979501880885",NA
"DL","I5","-0.0073416","0.305343622898658",NA
"DL","I6","-0.0073416","0.311593148602419",NA
"DM","I2_P","0","0.366849446280793",NA
"DM","I3_P","0","0.368910398226179",NA
"DM","I2_A","-0.0012312","0.306826434143391",NA
"DM","I3_A","-0.0012312","0.306826434143391",NA
"DM","I1","0.00390702675159236","0.367386754197858",NA
"DM","I4","0.00390702675159236","0.367386754197858",NA
"DM","I5","-0.0012312","0.305343622898658",NA
"DM","I6","-0.0012312","0.311593148602419",NA
"DN","I2_P","0","0.366849446280793",NA
"DN","I3_P","0","0.368910398226179",NA
"DN","I2_A","-0.00139992","0.306826434143391",NA
"DN","I3_A","-0.00139992","0.306826434143391",NA
"DN","I1","-0.00279984","0.33228610889228",NA
"DN","I4","-0.00279984","0.33228610889228",NA
"DN","I5","-0.00139992","0.305343622898658",NA
"DN","I6","0.0112583078481013","0.212054311227245",NA
"DP","I2_P","0","0.366849446280793",NA
"DP","I3_P","0","0.368910398226179",NA
"DP","I2_A","-0.000169632","0.306826434143391",NA
"DP","I3_A","-0.000169632","0.306826434143391",NA
"DP","I1","-0.000339264","0.33228610889228",NA
"DP","I4","-0.000339264","0.33228610889228",NA
"DP","I5","-0.000169632","0.305343622898658",NA
"DP","I6","-0.000169632","0.311593148602419",NA
"DQ","I2_P","0","0.366849446280793",NA
"DQ","I3_P","0","0.368910398226179",NA
"DQ","I2_A","-0.00352488","0.306826434143391",NA
"DQ","I3_A","-0.00352488","0.306826434143391",NA
"DQ","I1","-0.000680333248407643","0.367386754197858",NA
"DQ","I4","-0.000680333248407643","0.367386754197858",NA
"DQ","I5","-0.00352488","0.305343622898658",NA
"DQ","I6","-0.00352488","0.311593148602419",NA
"DR","I2_P","0","0.366849446280793",NA
"DR","I3_P","0","0.368910398226179",NA
"DR","I2_A","-0.00326952","0.306826434143391",NA
"DR","I3_A","-0.00326952","0.306826434143391",NA
"DR","I1","-0.00653904","0.33228610889228",NA
"DR","I4","-0.00653904","0.33228610889228",NA
"DR","I5","-0.00326952","0.305343622898658",NA
"DR","I6","-0.00326952","0.311593148602419",NA
"DS","I2_P","0","0.366849446280793",NA
"DS","I3_P","0","0.368910398226179",NA
"DS","I2_A","-0.00233472","0.306826434143391",NA
"DS","I3_A","-0.00233472","0.306826434143391",NA
"DS","I1","-0.00466944","0.33228610889228",NA
"DS","I4","-0.00466944","0.33228610889228",NA
"DS","I5","-0.00233472","0.305343622898658",NA
"DS","I6","-0.00233472","0.311593148602419",NA
"DT","I2_P","0","0.366849446280793",NA
"DT","I3_P","0","0.368910398226179",NA
"DT","I2_A","-0.00131784","0.306826434143391",NA
"DT","I3_A","-0.00131784","0.306826434143391",NA
"DT","I1","0.00373374675159236","0.367386754197858",NA
