"AA","Int","Probibility","P_value","delabel"
"CY","I3_A","0","0.240925848035997",NA
"CY","I1","0","0.265828908731312",NA
"CY","I4","0","0.265828908731312",NA
"CY","I5","0","0.268081696093435",NA
"CY","I6","0","0.257629827044182",NA
"DA","I2_P","0","0.248328418900775",NA
"DA","I3_P","0","0.255638395988965",NA
"DA","I2_A","0","0.240925848035997",NA
"DA","I3_A","0","0.240925848035997",NA
"DA","I1","0","0.265828908731312",NA
"DA","I4","0","0.265828908731312",NA
"DA","I5","0","0.268081696093435",NA
"DA","I6","0","0.257629827044182",NA
"DC","I2_P","0","0.248328418900775",NA
"DC","I3_P","0","0.255638395988965",NA
"DC","I2_A","-0.00925925925925926","0.240925848035997",NA
"DC","I3_A","0","0.240925848035997",NA
"DC","I1","0","0.265828908731312",NA
"DC","I4","0","0.265828908731312",NA
"DC","I5","0","0.268081696093435",NA
"DC","I6","0","0.257629827044182",NA
"DD","I2_P","-0.0232558139534884","0.0148173122320145","DD"
"DD","I3_P","0.00561797752808989","0.350027957584929",NA
"DD","I2_A","0","0.240925848035997",NA
"DD","I3_A","0","0.240925848035997",NA
"DD","I1","0","0.265828908731312",NA
"DD","I4","0","0.265828908731312",NA
"DD","I5","0","0.268081696093435",NA
"DD","I6","-0.00854700854700855","0.257629827044182",NA
"DE","I2_P","0","0.248328418900775",NA
"DE","I3_P","0","0.255638395988965",NA
"DE","I2_A","0","0.240925848035997",NA
"DE","I3_A","0","0.240925848035997",NA
"DE","I1","-0.00840336134453781","0.265828908731312",NA
"DE","I4","-0.00840336134453781","0.265828908731312",NA
"DE","I5","0","0.268081696093435",NA
"DE","I6","0","0.257629827044182",NA
"DF","I2_P","0","0.248328418900775",NA
"DF","I3_P","0","0.255638395988965",NA
"DF","I2_A","0","0.240925848035997",NA
"DF","I3_A","0","0.240925848035997",NA
"DF","I1","-0.0168067226890756","0.0698726726593444",NA
"DF","I4","-0.0168067226890756","0.0698726726593444",NA
"DF","I5","-0.00840336134453781","0.268081696093435",NA
"DF","I6","0","0.257629827044182",NA
"DG","I2_P","0","0.248328418900775",NA
"DG","I3_P","0","0.255638395988965",NA
"DG","I2_A","0","0.240925848035997",NA
"DG","I3_A","0","0.240925848035997",NA
"DG","I1","0","0.265828908731312",NA
"DG","I4","0","0.265828908731312",NA
"DG","I5","0","0.268081696093435",NA
"DG","I6","-0.00854700854700855","0.257629827044182",NA
"DH","I2_P","0","0.248328418900775",NA
"DH","I3_P","0","0.255638395988965",NA
"DH","I2_A","0","0.240925848035997",NA
"DH","I3_A","0","0.240925848035997",NA
"DH","I1","0","0.265828908731312",NA
"DH","I4","0","0.265828908731312",NA
"DH","I5","0","0.268081696093435",NA
"DH","I6","0","0.257629827044182",NA
"DI","I2_P","0","0.248328418900775",NA
"DI","I3_P","0","0.255638395988965",NA
"DI","I2_A","0","0.240925848035997",NA
"DI","I3_A","0","0.240925848035997",NA
"DI","I1","-0.00406786918589092","0.25002870900323",NA
"DI","I4","-0.00406786918589092","0.25002870900323",NA
"DI","I5","0","0.268081696093435",NA
"DI","I6","0.00632911392405063","0.350909592008483",NA
"DK","I2_P","0","0.248328418900775",NA
"DK","I3_P","0","0.255638395988965",NA
"DK","I2_A","0","0.240925848035997",NA
"DK","I3_A","0.0065359477124183","0.344501446257088",NA
"DK","I1","-0.0168067226890756","0.0698726726593444",NA
"DK","I4","-0.0168067226890756","0.0698726726593444",NA
"DK","I5","0.00641025641025641","0.354413089750588",NA
"DK","I6","0.00632911392405063","0.350909592008483",NA
"DL","I2_P","0","0.248328418900775",NA
"DL","I3_P","0","0.255638395988965",NA
"DL","I2_A","-0.0185185185185185","0.0572746964308892",NA
"DL","I3_A","0","0.240925848035997",NA
"DL","I1","-0.00203393459294546","0.353687615854401",NA
"DL","I4","-0.00203393459294546","0.353687615854401",NA
"DL","I5","-0.0420168067226891","0.00123546609424132","DL"
