,AA,Int,CCplus_APCC_asAPCC,CCplus_PCC_asAPCC,CCplus_APCC_asPCC,CCplus_PCC_asPCC
492,EC,I3_A,0,0,0,0
493,EC,I1,0,0,0,0
494,EC,I4,0,0,0,0
495,EC,I5,0,0,0.016806723,0
496,EC,I6,0,0.006369427,0,0
497,ED,I2_P,0,0,0,0
498,ED,I3_P,0,0,0,0
499,ED,I2_A,0,0,0,0
500,ED,I3_A,0,0,0,0
501,ED,I1,0,0,0,0
502,ED,I4,0,0,0,0
503,ED,I5,0.008547009,0,0,0
504,ED,I6,0,0,0,0
505,EE,I2_P,0,0,0.031007752,0.011173184
506,EE,I3_P,0.009090909,0,0.06870229,0.033707865
507,EE,I2_A,0.007751938,0,0,0
508,EE,I3_A,0.007751938,0,0,0
509,EE,I1,0.058823529,0.070967742,0.033613445,0.057324841
510,EE,I4,0,0.119496855,0.033613445,0.057324841
511,EE,I5,0.008547009,0,0.016806723,0
512,EE,I6,0.008403361,0,0,0
513,EF,I2_P,0,0,0,0
514,EF,I3_P,0,0,0,0
515,EF,I2_A,0,0,0,0
516,EF,I3_A,0,0,0,0
517,EF,I1,0,0,0,0.006369427
518,EF,I4,0.016806723,0,0,0.006369427
519,EF,I5,0,0,0,0
520,EF,I6,0.008403361,0.006369427,0,0
521,EG,I2_P,0,0,0,0
522,EG,I3_P,0,0,0,0
523,EG,I2_A,0,0,0,0
524,EG,I3_A,0.007751938,0,0,0
525,EG,I1,0,0,0.008403361,0
526,EG,I4,0.016806723,0,0.008403361,0
527,EG,I5,0,0,0,0
528,EG,I6,0,0,0,0
529,EH,I2_P,0,0.013071895,0,0
530,EH,I3_P,0,0,0,0
531,EH,I2_A,0,0,0,0
532,EH,I3_A,0,0,0,0
533,EH,I1,0,0,0.025210084,0.006369427
534,EH,I4,0,0,0.025210084,0.006369427
535,EH,I5,0.008547009,0,0,0
536,EH,I6,0,0,0,0
537,EI,I2_P,0.018691589,0,0,0
538,EI,I3_P,0,0,0,0
539,EI,I2_A,0.007751938,0,0.018518519,0
540,EI,I3_A,0,0,0.009259259,0
541,EI,I1,0.016806723,0.012903226,0.025210084,0.006369427
542,EI,I4,0,0,0.025210084,0.006369427
543,EI,I5,0,0.01910828,0.033613445,0.006410256
544,EI,I6,0,0.012738854,0.05982906,0.03164557
545,EK,I2_P,0,0,0,0
546,EK,I3_P,0,0.013071895,0,0
547,EK,I2_A,0,0,0,0
548,EK,I3_A,0,0,0,0
549,EK,I1,0.016806723,0.064516129,0.025210084,0.063694268
550,EK,I4,0.050420168,0.088050314,0.025210084,0.063694268
551,EK,I5,0.017094017,0.012738854,0.008403361,0.006410256
552,EK,I6,0,0.025477707,0,0.025316456
553,EL,I2_P,0.018691589,0,0,0
554,EL,I3_P,0.018181818,0.013071895,0,0
555,EL,I2_A,0.015503876,0.005649718,0.009259259,0.006535948
556,EL,I3_A,0,0.005649718,0.018518519,0.013071895
557,EL,I1,0.016806723,0.012903226,0.016806723,0.038216561
558,EL,I4,0.016806723,0.037735849,0.016806723,0.038216561
559,EL,I5,0.051282051,0.038216561,0.067226891,0.128205128
560,EL,I6,0.067226891,0.101910828,0.025641026,0.056962025
561,EM,I2_P,0,0,0,0
562,EM,I3_P,0,0.013071895,0,0
563,EM,I2_A,0,0,0,0
564,EM,I3_A,0,0,0,0
565,EM,I1,0,0,0.025210084,0.012738854
566,EM,I4,0,0,0.025210084,0.012738854
567,EM,I5,0,0.012738854,0,0
568,EM,I6,0.008403361,0,0.008547009,0
569,EN,I2_P,0.018691589,0,0,0
570,EN,I3_P,0,0,0,0
571,EN,I2_A,0,0,0,0
572,EN,I3_A,0,0.005649718,0.009259259,0
573,EN,I1,0,0.038709677,0,0.012738854
574,EN,I4,0.016806723,0,0,0.012738854
575,EN,I5,0,0.006369427,0,0
576,EN,I6,0,0,0,0.050632911
577,EP,I2_P,0,0,0,0
578,EP,I3_P,0,0,0,0
579,EP,I2_A,0,0,0,0
580,EP,I3_A,0,0,0,0
581,EP,I1,0,0,0,0
582,EP,I4,0,0,0,0
583,EP,I5,0,0,0,0
584,EP,I6,0,0,0,0
585,EQ,I2_P,0,0,0,0
586,EQ,I3_P,0,0,0,0
587,EQ,I2_A,0,0,0,0
588,EQ,I3_A,0,0,0,0
589,EQ,I1,0.067226891,0.038709677,0.033613445,0.082802548
590,EQ,I4,0.033613445,0.025157233,0.033613445,0.082802548
591,EQ,I5,0.017094017,0.006369427,0.008403361,0.006410256
592,EQ,I6,0,0.006369427,0,0
593,ER,I2_P,0,0,0,0
594,ER,I3_P,0.036363636,0,0,0
595,ER,I2_A,0,0,0.009259259,0
596,ER,I3_A,0.007751938,0,0,0
597,ER,I1,0.067226891,0.038709677,0.033613445,0.025477707
598,ER,I4,0.084033613,0.012578616,0.033613445,0.025477707
599,ER,I5,0.025641026,0.01910828,0,0
600,ER,I6,0.008403361,0,0.008547009,0.03164557
601,ES,I2_P,0,0,0,0
602,ES,I3_P,0,0,0,0
603,ES,I2_A,0,0.005649718,0,0
604,ES,I3_A,0,0.005649718,0,0
605,ES,I1,0.050420168,0,0.008403361,0.01910828
606,ES,I4,0,0.012578616,0.008403361,0.01910828
607,ES,I5,0.017094017,0,0,0
608,ES,I6,0.008403361,0.006369427,0.008547009,0.006329114
609,ET,I2_P,0,0,0,0
610,ET,I3_P,0,0,0,0
611,ET,I2_A,0,0,0,0
612,ET,I3_A,0.007751938,0,0,0
613,ET,I1,0.016806723,0.012903226,0,0.031847134
614,ET,I4,0,0.025157233,0,0.031847134
615,ET,I5,0.017094017,0.006369427,0.008403361,0.012820513
616,ET,I6,0.008403361,0.025477707,0.008547009,0.006329114
617,EV,I2_P,0,0,0,0
618,EV,I3_P,0,0,0,0
619,EV,I2_A,0,0,0,0
620,EV,I3_A,0.023255814,0.011299435,0.009259259,0.013071895
621,EV,I1,0.016806723,0,0.025210084,0
622,EV,I4,0,0.012578616,0.025210084,0
623,EV,I5,0.017094017,0.050955414,0.025210084,0.006410256
624,EV,I6,0.016806723,0.01910828,0,0.03164557
625,EW,I2_P,0,0,0,0
626,EW,I3_P,0,0,0,0
627,EW,I2_A,0,0,0,0
628,EW,I3_A,0,0,0,0
629,EW,I1,0,0,0,0
630,EW,I4,0,0,0,0
631,EW,I5,0,0,0,0
632,EW,I6,0,0,0,0
633,EY,I2_P,0.018691589,0,0,0
634,EY,I3_P,0,0.013071895,0,0
635,EY,I2_A,0,0,0,0
636,EY,I3_A,0,0,0,0
637,EY,I1,0,0,0,0
638,EY,I4,0,0,0,0
639,EY,I5,0,0,0,0
640,EY,I6,0,0.01910828,0,0
641,FA,I2_P,0,0,0,0
642,FA,I3_P,0,0,0,0
643,FA,I2_A,0,0,0,0.006535948
644,FA,I3_A,0.023255814,0.005649718,0.027777778,0.006535948
645,FA,I1,0,0,0,0
646,FA,I4,0,0,0,0
647,FA,I5,0,0,0,0
648,FA,I6,0,0.006369427,0,0
649,FC,I2_P,0,0,0,0
650,FC,I3_P,0,0,0,0
651,FC,I2_A,0,0,0,0
652,FC,I3_A,0,0,0,0
653,FC,I1,0,0,0,0
654,FC,I4,0,0,0,0
