"AA","Int","Probibility","P_value","delabel"
"EA","I4","0","0.471992995287863",NA
"EA","I5","-0.00419184495617617","0.336847643342909",NA
"EA","I6","-0.0170743456618316","0.144257085111417",NA
"EC","I2_P","0","0.495770649975813",NA
"EC","I3_P","0","0.486113054319451",NA
"EC","I2_A","0","0.481485028299196",NA
"EC","I3_A","0","0.481485028299196",NA
"EC","I1","0","0.462906945763132",NA
"EC","I4","0","0.471992995287863",NA
"EC","I5","0","0.473498574198843",NA
"EC","I6","-0.00636942675159236","0.467485954874578",NA
"ED","I2_P","0","0.495770649975813",NA
"ED","I3_P","0","0.486113054319451",NA
"ED","I2_A","0","0.481485028299196",NA
"ED","I3_A","0","0.481485028299196",NA
"ED","I1","0","0.462906945763132",NA
"ED","I4","0","0.471992995287863",NA
"ED","I5","0.00854700854700855","0.35512393064915",NA
"ED","I6","0","0.467485954874578",NA
"EE","I2_P","0","0.495770649975813",NA
"EE","I3_P","0.00909090909090909","0.351792341941678",NA
"EE","I2_A","0.00775193798449612","0.352906640060192",NA
"EE","I3_A","0.00775193798449612","0.352906640060192",NA
"EE","I1","-0.0121442125237192","0.133413336944366",NA
"EE","I4","-0.119496855345912","2.64836873102746e-07","EE"
"EE","I5","0.00854700854700855","0.35512393064915",NA
"EE","I6","0.00840336134453781","0.356607875833799",NA
"EF","I2_P","0","0.495770649975813",NA
"EF","I3_P","0","0.486113054319451",NA
"EF","I2_A","0","0.481485028299196",NA
"EF","I3_A","0","0.481485028299196",NA
"EF","I1","0","0.462906945763132",NA
"EF","I4","0.0168067226890756","0.132745666556487",NA
"EF","I5","0","0.473498574198843",NA
"EF","I6","0.00203393459294546","0.356607875833799",NA
"EG","I2_P","0","0.495770649975813",NA
"EG","I3_P","0","0.486113054319451",NA
"EG","I2_A","0","0.481485028299196",NA
"EG","I3_A","0.00775193798449612","0.352906640060192",NA
"EG","I1","0","0.462906945763132",NA
"EG","I4","0.0168067226890756","0.132745666556487",NA
"EG","I5","0","0.473498574198843",NA
"EG","I6","0","0.467485954874578",NA
"EH","I2_P","-0.0130718954248366","0.244652840758543",NA
"EH","I3_P","0","0.486113054319451",NA
"EH","I2_A","0","0.481485028299196",NA
"EH","I3_A","0","0.481485028299196",NA
"EH","I1","0","0.462906945763132",NA
"EH","I4","0","0.471992995287863",NA
"EH","I5","0.00854700854700855","0.35512393064915",NA
"EH","I6","0","0.467485954874578",NA
"EI","I2_P","0.0186915887850467","0.121689549688926",NA
"EI","I3_P","0","0.486113054319451",NA
"EI","I2_A","0.00775193798449612","0.352906640060192",NA
"EI","I3_A","0","0.481485028299196",NA
"EI","I1","0.00390349688262402","0.255790427503384",NA
"EI","I4","0","0.471992995287863",NA
"EI","I5","-0.0191082802547771","0.104632115454971",NA
"EI","I6","-0.0127388535031847","0.217477056133683",NA
"EK","I2_P","0","0.495770649975813",NA
"EK","I3_P","-0.0130718954248366","0.235183479998469",NA
"EK","I2_A","0","0.481485028299196",NA
"EK","I3_A","0","0.481485028299196",NA
"EK","I1","-0.0477094063431824","0.0119394178656399","EK"
"EK","I4","-0.0376301463981819","0.0484660568526608","EK"
"EK","I5","0.00435516359083238","0.252092429856639",NA
"EK","I6","-0.0254777070063694","0.0463683487858133","EK"
"EL","I2_P","0.0186915887850467","0.121689549688926",NA
"EL","I3_P","0.00510992275698158","0.247344408155952",NA
"EL","I2_A","0.00985415845486795","0.128329687294627",NA
"EL","I3_A","-0.00564971751412429","0.481485028299196",NA
"EL","I1","0.00390349688262402","0.255790427503384",NA
"EL","I4","-0.0209291263675281","0.11100462789188",NA
"EL","I5","0.0130654907724971","0.128913925273773",NA
"EL","I6","-0.0346839372691752","0.0600722893754595",NA
"EM","I2_P","0","0.495770649975813",NA
"EM","I3_P","-0.0130718954248366","0.235183479998469",NA
"EM","I2_A","0","0.481485028299196",NA
"EM","I3_A","0","0.481485028299196",NA
"EM","I1","0","0.462906945763132",NA
"EM","I4","0","0.471992995287863",NA
"EM","I5","-0.0127388535031847","0.223125575718591",NA
"EM","I6","0.00840336134453781","0.356607875833799",NA
"EN","I2_P","0.0186915887850467","0.121689549688926",NA
"EN","I3_P","0","0.486113054319451",NA
"EN","I2_A","0","0.481485028299196",NA
"EN","I3_A","-0.00564971751412429","0.481485028299196",NA
"EN","I1","-0.0387096774193548","0.0091136817470439","EN"
"EN","I4","0.0168067226890756","0.132745666556487",NA
"EN","I5","-0.00636942675159236","0.473498574198843",NA
"EN","I6","0","0.467485954874578",NA
"EP","I2_P","0","0.495770649975813",NA
"EP","I3_P","0","0.486113054319451",NA
"EP","I2_A","0","0.481485028299196",NA
"EP","I3_A","0","0.481485028299196",NA
"EP","I1","0","0.462906945763132",NA
"EP","I4","0","0.471992995287863",NA
"EP","I5","0","0.473498574198843",NA
"EP","I6","0","0.467485954874578",NA
"EQ","I2_P","0","0.495770649975813",NA
"EQ","I3_P","0","0.486113054319451",NA
"EQ","I2_A","0","0.481485028299196",NA
"EQ","I3_A","0","0.481485028299196",NA
"EQ","I1","0.0285172133369477","0.0494157246780377","EQ"
